AMD,CSCO,QCOM
59.73,44.38,118.11
61.47,44.36,119.17
58.7,43.54,116.38
58.82,42.8,115.74
57.77,41.71,111.98
57.23,41.88,112.85
57.92,41.79,111.21
57.96,41.3,111.59
55.94,40.2,109.95
58.94,40.61,112.86
57.85,39.27,108.64
57.63,39.58,110.03
57.81,39.89,114.6
58.44,40.27,120.91
67.85,41.52,125.28
67.94,41.99,124.89
67.9,41.82,122.37
66.11,41.29,117.22
63.36,40,112.98
64.14,40.57,114.84
68.36,41.34,118.93
67.17,40.52,120.34
66.3,40.58,119.74
67.96,40.66,121.19
69.5,41.15,123.68
74.48,41.59,124.62
75.25,42.58,124.77
76.77,43.3,126.65
76.51,43.3,124.95
76.66,43.29,124.98
77.45,43.96,127.53
77.03,44.11,124.93
84.64,46.4,133
85.45,45.77,132.05
82.78,45.37,128.85
79.61,45.02,128.6
78.72,44.47,126.67
80.24,44.59,128.48
82.33,45.29,129.92
84.87,44.72,132.27
86.94,45.24,134.41
88.49,45.71,137.08
91.18,45.89,138.38
97.18,47.27,146.25
92.73,47.07,141.31
92.49,47.41,140.72
92.84,47.71,141.61
95.95,48.7,147.6
100.44,49.37,151.38
98.27,46.66,148.53
100.2,46.77,150.03
101.01,46.59,152.13
100.83,46.61,151.29
98.12,45.9,147.83
99.05,46.02,146.99
95.54,44.92,142.51
100.07,45.02,147.81
102.31,45.01,150.21
103.91,45.38,151.01
98.09,45.71,149.16
99.29,44.92,147.03
96.78,45.28,147.43
94.47,45.37,145.06
91.67,45.62,146.45
89.82,44.64,153.42
85.25,43.83,149.97
87.54,44.34,153.25
88.1,44.46,153.7
91.09,44.58,155.86
89.43,44.13,151.71
85.88,44.03,147.37
81.43,42.6,141.69
81.11,43.07,144.37
78.6,42.33,141.9
77.52,42.7,135.64
76.36,42.86,132.95
76.95,43.25,132.24
79.35,43.39,136.01
79.3,43.22,134.4
75.35,42.69,127.06
75.2,41.96,125.83
73.67,42.6,123.53
76.47,42.64,127.74
77.99,42.88,130.23
80.78,43.06,131.6
86.16,43.77,127.18
87.08,44.1,125.1
82.43,42.93,120.09
83.75,43.57,122.16
83.79,44.14,124.39
81.57,43.39,120.99
82.05,43.32,120.82
89.3,43.8,131.03
86.99,42.91,130.26
86.99,43.24,128.66
94.82,43.49,133.2
98.8,44.26,136.71
101.9,44.92,138.96
105.28,45.57,141.89
105.65,45.33,140.44
106.3,45.25,141.22
108.59,45.79,146.2
101.22,45.23,140.02
101.86,45.05,143.22
102.26,45.62,139.76
98.75,44.99,134.84
92.65,44,131.23
91.16,43.77,128.53
95.07,43.35,132.12
93.5,42.94,131.6
96.67,41.72,130.57
96.28,48.36,130.45
102.47,50.6,139.69
94.24,49,133.91
95.12,49.56,134.93
87.06,48.29,131.77
87.92,48.65,132.3
88.73,49.55,136.81
86.36,48.96,134.92
95.34,49.33,140.58
93.87,49.61,141.64
99.42,51.58,149.05
91.13,49.92,144.26
89.84,49.86,145.27
85.52,48.98,139.69
89.64,50.63,148.19
84.91,49.31,135.1
85.16,50.9,133.5
90.69,51.94,136.56
88.14,51.36,132.81
89.85,52.78,136.11
94.02,53.02,140.34
96.93,51.83,141.05
93.89,51.11,139.32
93.06,51.17,136.91
97.74,52.15,140.5
95.1,51.82,136.09
97.37,52.88,135.36
101,54.28,136.69
103.72,54.63,139.22
103.67,54.37,139.28
106.82,54.92,145.46
110.53,55.87,153.81
108.19,55.66,146.99
