AMD,CSCO,QCOM
26.75,55.29,58.09
26.36,54.98,57.81
25.52,53.99,57.03
25.06,53.36,56.55
24.89,53.14,56.91
25.69,53.23,58
25.97,52.73,56.64
26.37,52.74,56.82
27.89,53.94,57.77
25.7,53.26,57.16
26,53.31,56.97
23.25,53.51,56.83
23.29,53.2,56.6
22.82,52.74,55.4
23.38,52.59,55.39
23.49,52.15,54.84
22.96,51.92,54.35
22.01,51.07,53.53
22.08,51.29,54.03
22.41,51.67,54.8
23.5,51.3,53.94
23.37,51.16,53.78
23.68,51.41,54.2
23.53,51.77,53.39
23.48,51.59,53.04
24.21,51.18,53.03
24.71,50.79,52.99
24.36,50.11,53.12
23.92,49.41,52.35
23.95,49.63,52.45
23.95,49.65,52.01
23.68,49.43,51.98
23.13,48.4,51.57
22.85,47.5,51.59
22.82,47.89,51.66
22.96,47.58,50.83
23.05,47.19,50.29
22.67,46.7,50.55
23.26,47.48,51.1
23.31,47.26,50.73
24.13,47.35,49.69
24.51,47.34,49.61
24.41,47.29,49.52
23.09,46.71,50.17
19.25,45.96,49.4
20.18,45.75,50.64
21.93,46.13,51.3
20.85,45.61,50.81
19.8,45.46,51.77
19.76,44.78,54.29
20.77,45.03,55.27
20.25,44.21,54.77
19.73,43.96,55.27
20.38,44.02,55.73
20.23,43.21,57.3
20.27,43.49,57.5
19.74,43.24,56.8
20.19,43.32,56.61
20.75,43.56,55.95
20.57,43.21,56.44
19,42.92,56.6
17.05,41.07,55.7
18.83,42.95,57.4
18.46,43.33,56.91
17.82,42.77,56.81
17.49,42.91,56.09
17.9,42.47,55.96
16.65,40.28,53.65
16.93,41.85,54.85
17.94,42.49,56.37
18.16,43.14,56.69
19.5,44.06,57.78
18.83,44.2,57
19.9,45.82,57.62
19.86,47.47,58.09
20.48,47.42,57.72
19.98,47.09,57.35
19.99,46.86,57.24
19.46,46.44,55.99
21.3,48.39,57.11
21.12,47.35,57.73
23.71,48.74,59.14
21.3,47.87,58.26
21.43,47.34,58.11
21.34,47.29,56.65
21.05,46.12,55.57
20.08,45.57,55.73
19.38,44.54,55.25
18.73,44.89,55.27
19.21,44.49,54.92
